rank,2018 total pay,gender
Associate,58.1,M
Assistant,399.5199999999999,M
Professor,58156.969999999994,M
Associate,199.47,M
Assistant,76.81,M
Associate,682.0699999999999,F
NA,1030.03,M
NA,18.76,M
NA,3227.69,M
NA,126.62,M
NA,18.76,M
none,835.88,M
none,0,M
none,682.3599999999999,M
NA,723.28,M
NA,472.99,M
Assistant,0,M
Associate,37473.89,M
Instructor,0,M
Instructor,0,M
Instructor,239.73,M
Associate,3046.4700000000003,M
Associate,41.39,F
Instructor,270,M
Assistant,1500,M
Instructor,0,F
Instructor,0,M
none,0,F
Assistant,0,M
Instructor,0,F
Instructor,0,F
Assistant,0,M
Assistant,0,M
Associate,18.44,M
Instructor,656.53,M
Assistant,0,M
Assistant,0,M
Assistant,445.91999999999996,M
Associate,87.54,M
Associate,0,M
Assistant,388.69000000000005,M
Associate,164.43,M
Associate,318.59000000000003,M
Assistant,383.29,M
none,3619.17,M
Assistant,9458.910000000002,M
Professor,8384.18,M
none,3292.060000000001,M
none,2714.76,M
none,2984.77,M
none,129.96,M
none,20309.64,M
none,12748.290000000003,M
Assistant,12095.86,M
Associate,463.69999999999993,M
none,2674.7799999999997,M
none,25446.699999999997,M
Assistant,374.04,M
none,240.97,F
Professor,21542.34,M
Assistant,1641.1699999999998,M
Assistant,571.64,F
Assistant,0,M
Assistant,1686.0099999999998,M
Assistant,87.44000000000001,M
Assistant,10402.840000000002,M
Assistant,372.65,M
none,525.15,F
Assistant,0,M
Assistant,11.33,M
Assistant,11.99,M
Assistant,0,M
Assistant,0,F
Assistant,145.03,M
Assistant,434.01,M
Associate,5317.28,M
Assistant,0,M
Assistant,22.66,M
Assistant,269.54,M
Assistant,236.16000000000003,M
Assistant,22.65,M
Associate,101.51,M
Professor,334.8899999999998,M
Assistant,34.38,M
Assistant,2082.1400000000003,F
Assistant,428.21000000000004,F
Assistant,2335.97,M
Assistant,529.63,M
Assistant,18.12,M
Associate,158.8,M
Assistant,287.52000000000004,F
Assistant,85.36,M
Associate,12293.739999999998,M
Professor,691.73,F
Assistant,993.1,M
Professor,65.59,F
Associate,221.81,M
Assistant,1975.71,M
Assistant,786.8900000000001,M
Assistant,427.5199999999999,M
Assistant,63.78,M
Associate,0,M
Assistant,7821.13,M
none,9880.029999999999,M
none,4743.39,M
none,0,M
none,0,M
none,354.51000000000005,F
none,434.01,M
none,0,M
none,362.26,M
none,285.43,M
none,260.89,M
none,1330.18,M
Assistant,0,M
none,169.03,M
Assistant,0,M
Assistant,16191.990000000002,M
Assistant,1199.7599999999998,M
none,0,M
Assistant,342.52,M
Associate,24265.39999999999,M
Assistant,422.54,M
Associate,54917.9,M
Associate,718.13,M
Assistant,2789.9100000000003,F
Assistant,47758.34000000001,M
none,3569.7999999999997,M
Professor,55178.91999999999,M
Assistant,448.15000000000003,M
Assistant,183.04999999999998,M
Assistant,796.8499999999999,F
Assistant,1381.7499999999998,M
Assistant,502.12000000000006,M
Associate,15.25,M
Assistant,116.63000000000001,M
Assistant,469.62000000000006,F
Assistant,1864.9499999999998,M
Assistant,921.06,M
Associate,11960.050000000001,M
Assistant,5165.36,M
Assistant,1643.7599999999998,M
Associate,0,M
Associate,1962.17,M
Associate,10927.619999999995,M
Assistant,37.19,M
Professor,53155.84,M
Assistant,171.35,M
Assistant,3969.58,F
Assistant,631.59,M
Assistant,306.5,M
Assistant,586,M
Assistant,275752.63999999996,M
Assistant,735.72,M
Assistant,1816,M
Assistant,26.93,M
Assistant,3541.24,M
Assistant,719.76,M
Assistant,547.18,M
NA,3406.6299999999997,M
NA,2228.3100000000004,M
NA,1896.5699999999997,M
Assistant,942.07,M
Associate,4539.9000000000005,M
Associate,655.5200000000001,M
Professor,941.25,M
Assistant,1311.28,F
Associate,26276.40000000001,M
Assistant,77.39,F
NA,311.4,M
Assistant,1303.8799999999999,M
none,0,F
none,19.46,F
none,29.75,F
none,155.34,M
none,0,M
none,0,M
none,0,M
Assistant,135.51999999999998,M
none,0,M
none,0,F
none,230.83,M
none,0,M
none,0,F
none,0,M
none,535.08,M
none,0,M
none,0,M
none,0,M
none,0,F
Associate,1504.8,M
Professor,197.25,M
Associate,46.55,M
Assistant,59.629999999999995,M
Associate,892.0799999999999,M
Assistant,459.95000000000005,M
Assistant,0,M
Assistant,478.55999999999995,M
Professor,726.9,M
Assistant,1360.1999999999998,M
Professor,746.1500000000001,M
Assistant,5477.830000000003,M
Assistant,612.1,M
Assistant,710.93,M
Professor,13.1,M
Assistant,88.44,M
Assistant,124.99,M
Assistant,694.7699999999999,M
Assistant,91.48,M
Associate,0,M
Associate,4608,F
Professor,0,M
Associate,1000,M
Assistant,112.31,M
Associate,0,F
Assistant,0,M
Assistant,6335.94,M
Instructor,173699.09,M
Instructor,0,M
Instructor,473.33,M
Assistant,20.81,M
Instructor,310480,M
Assistant,18605.440000000013,F
Instructor,1031.96,M
Associate,0,M
Instructor,40.47,M
Professor,272290.78,M
Professor,0,M
Assistant,0,M
Instructor,3404.35,M
Associate,173829.78,M
Associate,75202.61000000004,M
Assistant,0,M
Instructor,146.82,M
Associate,282.54999999999995,M
Associate,2561.91,F
Professor,1527.3799999999999,M
Assistant,2321.1299999999997,M
Associate,2319.81,M
Assistant,0,M
Assistant,13164.210000000001,M
Assistant,0,M
Assistant,71.17,M
Assistant,0,M
Assistant,0,M
Associate,0,M
Associate,0,M
Professor,0,M
Assistant,0,F
Assistant,217.42,M
none,0,M
Assistant,0,M
Assistant,0,M
Assistant,0,M
Associate,27999.66,M
Assistant,73.37,F
Assistant,0,F
Professor,0,M
Assistant,0,M
Professor,73.37,M
Assistant,0,F
Assistant,0,M
Professor,1986.9999999999995,M
Assistant,2081.94,M
Professor,3310.5000000000005,M
NA,16890.400000000005,M
NA,262.9,M
Instructor,437.03000000000003,M
Professor,31033.079999999998,M
Professor,47034.96,M
Professor,65.67,M
Assistant,0,M
Professor,373.25,M
Assistant,47481.72000000001,M
Assistant,621,F
Professor,447161.34000000026,M
Assistant,1023.83,M
Professor,140124.59,M
Professor,964.6999999999999,M
Assistant,1397.06,M
Professor,12373.07,M
NA,823.68,M
Assistant,80.73,M
NA,9945.719999999998,M
Assistant,56101.79000000002,M
Assistant,16.92,M
Assistant,0,F
Assistant,76.49000000000001,M
Professor,27.09,M
Assistant,14.54,M
Professor,20580.06,M
Assistant,5810.4,F
Assistant,3725.41,M
Associate,725.7299999999998,M
Assistant,291.35,M
Assistant,15.05,F
Professor,1696.23,M
Assistant,296.55,M
Associate,61832.43000000001,M
Professor,9557.290000000003,M
Associate,18522.540000000005,F
Professor,141155.77,M
Assistant,12072.5,M
Professor,29954.08000000001,M
Associate,117.19,M
Professor,46613.72000000002,M
Professor,430.48,M
Professor,122082.90999999995,M
Assistant,433.6,M
Assistant,68.21,M
Assistant,354.86,F
Professor,318.49,F
Professor,26350.140000000007,M
Assistant,1954.72,M
Professor,185.32999999999998,M
Assistant,0,M
Professor,0,M
Associate,2145.8199999999997,M
Associate,228.49,M
Associate,6480.710000000001,M
Professor,187.67,F
Professor,0,F
Associate,217.25,M
Assistant,27.68,M
Professor,252185.88,M
Associate,127929.94,M
Professor,3746.19,M
Assistant,701.67,F
Associate,0,M
Assistant,202.92,M
Assistant,2073.0699999999997,M
Professor,8307.23,M
Professor,297.71,M
Assistant,35.33,F
Associate,9303.800000000003,M
Associate,3731.9399999999996,M
Assistant,1913.35,M
Associate,4053.49,M
Professor,41080.87,M
Assistant,547.74,M
Assistant,3164.36,M
Assistant,0,F
Assistant,272.88,M
Assistant,705.3200000000002,M
Assistant,1222.15,M
Assistant,445.08,M
Assistant,857.9,M
Assistant,23969.150000000012,M
Assistant,2102.03,M
Assistant,10069.7,M
Professor,5194.34,M
Associate,13391.27,M
Assistant,5155.57,M
Assistant,889.22,M
Associate,6742.330000000001,M
Assistant,0,F
Assistant,481.4,F
Assistant,7829.319999999999,M
Professor,987887.5099999999,M
Assistant,1175.16,M
Assistant,0,M
Associate,2234.15,M
Assistant,512.36,M
Assistant,1250.88,M
Assistant,460.29,M
Associate,25.26,M
Associate,96.42,M
Assistant,633.6799999999998,F
Assistant,357.38,F
Assistant,22376.760000000006,M
Assistant,0,M
Assistant,244.52,F
Assistant,0,M
Assistant,0,F
Associate,148.66,M
Assistant,1099.64,M
NA,0,M
NA,1369.2699999999998,M
Assistant,897.6400000000001,M
Professor,113.42,M
Associate,0,M
Associate,19710.800000000003,M
Instructor,24153,M
Assistant,532.12,M
Associate,0,M
Assistant,47309.96,M
Assistant,588.53,M
Assistant,284.24,F
Professor,42.26,M
Assistant,0,M
Assistant,241.99,F
Assistant,241.97,M
NA,9782.64,M
NA,4041.01,M
NA,870.9400000000002,F
NA,938.76,M
NA,549.38,M
NA,812.3000000000002,M
NA,39003.420000000006,M
NA,1123.6499999999999,M
NA,71503.35000000002,M
NA,190.94,M
Assistant,149.69,M
none,166.10000000000002,M
Associate,15.66,M
Assistant,264.28,M
Professor,21.2,M
Assistant,0,M
NA,37.71,M
Instructor,148.63,M
Professor,0,M
none,17.65,M
Assistant,0,F
Assistant,514.13,F
Associate,21.06,F
Assistant,1147.63,F
Associate,0,M
Professor,21.06,M
Instructor,142.01999999999998,M
Assistant,254.40000000000003,M
NA,214.79999999999998,M
NA,102.57,M
Assistant,54344.14,M
NA,1570.1000000000001,M
Assistant,546.98,M
Assistant,69.41,F
NA,123.41999999999999,M
NA,67544.98000000001,M
NA,7376.61,M
NA,11861.350000000002,M
NA,332.4,F
NA,131.35,M
NA,202.95999999999998,M
NA,84425.63999999998,M
NA,65.2,F
NA,1.49,M
NA,15.93,M
NA,0,F
NA,0,M
Assistant,307.21,M
none,143463.75999999998,M
Professor,364.90999999999997,M
none,1330.67,M
Assistant,1499.11,M
NA,186.87,M
Assistant,503.34000000000003,M
Assistant,124.62,M
Associate,808.4,M
Associate,433.33,M
Assistant,14.95,M
Associate,0,M
Associate,0,F
Associate,97,M
Professor,0,M
Associate,0,F
Professor,69.44,M
Associate,0,M
Assistant,589.62,M
Assistant,0,M
Assistant,616.05,F
Assistant,11.75,M
NA,796.5999999999999,M
NA,506.07,M
NA,419.71,M
NA,234.90000000000003,M
NA,431.51000000000005,M
NA,141.67000000000002,M
NA,506.86,M
Assistant,655.6,F
NA,5450.8,M
NA,792.5200000000001,F
NA,1408.6000000000001,F
NA,119364.28000000001,M
NA,140949.8,M
NA,37540,M
NA,409.25,M
NA,1829.05,M
NA,1585.4700000000005,M
NA,193000.50999999998,M
NA,34098.68999999999,M
Assistant,97.63,M
Assistant,494.08000000000004,M
Assistant,120.35999999999999,M
Assistant,0,M
Assistant,0,M
Professor,0,M
Assistant,0,M
Assistant,948.15,M
Associate,2005.9999999999998,F
Professor,1022.4,M
Assistant,506.09,M
Assistant,1552.29,M
Assistant,26.59,M
NA,30121.000000000004,M
NA,699.3199999999999,M
NA,9108.980000000001,M
NA,1253.3500000000001,M
NA,5540.26,M
NA,354.75,F
NA,616.95,M
NA,23874.679999999997,M
NA,13329.119999999999,M
NA,2555.8700000000003,M
NA,367.41999999999996,M
NA,1023.5699999999999,M
NA,1526.8899999999999,M
none,1030.6699999999998,M
NA,936.6899999999999,F
NA,2687.5099999999998,M
NA,40.68,M
NA,23.39,M
NA,0,M
NA,402.78,M
NA,138.41,F
NA,252.17999999999998,F
NA,3338.6200000000003,M
NA,1955.0199999999995,M
NA,1683.1799999999998,F
NA,509.58000000000004,M
NA,639.81,M
NA,7223.42,M
NA,6674.930000000001,M
NA,560.2299999999999,M
NA,129.97,M
NA,0,M
NA,2365.5200000000004,M
NA,276.65,F
NA,338.74,M
NA,12151.310000000001,F
NA,28601.820000000007,M
NA,494.87,M
NA,475.84,M
NA,0,M
NA,457.44,M
NA,60.07,M
NA,450.3,M
NA,797.3,M
NA,71.44,M
none,2898.6700000000005,F
NA,742.5099999999999,M
NA,2132.4399999999996,M
NA,375.89,M
NA,17.58,M
NA,537.0999999999999,M
NA,23172.28,M
NA,2381.2300000000005,M
NA,2026.28,M
NA,1301.52,M
NA,262.69,M
NA,496.38000000000005,M
NA,0,M
NA,110820,M
NA,2579.93,M
NA,4859.54,F
NA,822.27,M
NA,785.5699999999999,M
NA,22342.879999999997,M
NA,2509.19,M
NA,7462.469999999999,M
NA,32184.24,M
NA,856.56,M
none,492.13999999999993,M
NA,1943.0200000000002,M
NA,1368.28,F
NA,663.3000000000001,M
NA,457.98,M
NA,6399.69,M
NA,101.82,M
NA,0,M
NA,31.25,M
NA,30.21,M
NA,3772.9300000000003,M
NA,430.09000000000003,M
NA,0,M
NA,22.25,M
NA,130.16,M
NA,0,M
NA,705.56,M
NA,476.40999999999997,M
NA,1089.45,M
NA,270.01,M
NA,69.42,M
NA,327.52000000000004,M
NA,35.95,M
NA,0,M
NA,10533.789999999999,M
NA,645.18,M
NA,3321.9000000000005,M
NA,1267.88,M
NA,44.2,M
NA,318.27000000000004,M
NA,56192.450000000004,M
NA,233.2,M
NA,82.98,M
NA,7314.1500000000005,M
NA,6739.02,M
NA,21415.95,M
NA,0,F
NA,1195.05,M
Assistant,8624.029999999999,F
NA,3096.79,M
NA,874.18,M
NA,1180.9199999999998,M
NA,471.25,M
NA,389.04,M
NA,14.31,M
NA,6026.130000000001,M
NA,0,M
NA,44438.91,M
NA,0,M
NA,0,M
NA,816.45,M
NA,14355.6,M
NA,0,M
NA,26388.5,M
NA,5822.04,M
NA,9832.56,F
NA,39540.450000000004,M
NA,64.28,M
NA,12316.61,M
NA,260.55,M
NA,130.81,M
NA,1092.53,M
NA,14221.289999999999,M
NA,544.53,F
NA,8748.25,M
NA,325,M
NA,13556.66,M
NA,0,F
NA,13.57,F
NA,1453.63,M
Assistant,3264.05,F
NA,87.52,M
NA,14.49,M
NA,0,M
NA,0,M
NA,1604.5,M
NA,42172.07,M
NA,7204.47,M
NA,266.1,M
NA,0,M
NA,0,F
NA,1485.8899999999999,M
NA,64.02,M
NA,5597.41,M
NA,0,M
NA,511.48999999999995,M
NA,0,M
NA,4725.3,F
NA,1504.5500000000002,M
NA,0,M
NA,1012.49,M
NA,368.51,M
NA,7578.67,M
NA,5914.7,M
NA,457.72,M
NA,88.59,M
NA,0,M
NA,29243.339999999997,M
NA,43776.02,M
NA,18.51,M
NA,0,M
NA,450,M
NA,535356.88,M
NA,0,F
NA,1978.3600000000001,M
NA,11431.280000000002,F
NA,5054.45,M
NA,102302.70999999999,M
Assistant,61.97,M
Assistant,40.16,M
Assistant,7569.549999999998,M
Professor,82715.48000000003,M
Associate,11070.59,M
Assistant,573.47,M
Assistant,4750.469999999998,M
Associate,1066.74,M
Associate,31140.549999999996,M
Assistant,11055.959999999997,M
Associate,56698.49,M
Assistant,318.61,M
Assistant,5168.92,M
Assistant,2726.469999999999,M
Assistant,83795.52999999998,M
Assistant,21680.36,M
Professor,5542340.200000001,M
Assistant,136.38,F
Assistant,37.54,M
Associate,3755.37,M
Assistant,1401.1200000000001,M
Assistant,1277.6,M
Assistant,156.52,M
Assistant,259.19,F
Assistant,1485.42,M
Associate,253293.93,M
Assistant,2084.4700000000003,M
Assistant,4684.3499999999995,M
Associate,24.71,M
Associate,1139.72,M
Professor,85.74000000000001,F
Associate,5279.18,M
Assistant,400.73,M
Associate,842.36,F
Assistant,335.88,M
Associate,399.71,M
Assistant,105.92,M
Professor,7044.45,M
Professor,5597.579999999999,M
Professor,59.129999999999995,M
Associate,4499.3,M
Assistant,2120.76,M
Assistant,750.6399999999999,M
Assistant,341.47999999999996,M
Assistant,1004.9699999999999,M
Assistant,4044.34,M
NA,363.30999999999995,M
NA,0,M
Assistant,943.5200000000001,F
Assistant,124.52000000000001,F
Assistant,2156.7999999999997,M
Associate,0,M
Assistant,4254.67,M
Assistant,914.51,M
Assistant,253.35999999999999,M
Assistant,745.21,M
Assistant,185.08999999999997,M
Assistant,0,M
Assistant,441.67999999999995,M
Assistant,166.93,M
Professor,44932.93,M
Associate,0,M
Assistant,128.78,F
Assistant,709.06,M
Assistant,231.56,M
Assistant,951.3699999999999,M
Assistant,7121.36,M
Assistant,670.4100000000001,M
Associate,0,M
Professor,0,M
Assistant,14,M
Associate,0,M
none,0,M
Associate,65.15,M
Professor,19977.689999999995,M
Assistant,686.6,M
Associate,75.09,M
Assistant,6178.53,M
none,63.17,M
Associate,1199.31,M
Professor,11544.350000000004,M
none,1671.2900000000002,M
Assistant,215.23000000000002,M
none,321.70000000000005,M
none,1742.7800000000002,M
Professor,14041.1,M
Assistant,4314.5599999999995,M
Assistant,120.8,M
Assistant,33185.01,M
Associate,3158.31,M
Assistant,3152.13,M
Assistant,16401.78,M
Assistant,0,M
Professor,0,M
Assistant,3531.7999999999997,M
Associate,2450,M
Associate,58.980000000000004,M
Assistant,0,M
Associate,3508.31,M
Assistant,11.38,M
Associate,252.70000000000002,M
Professor,0,M
Assistant,566.06,M
Associate,0,M
Associate,0,M
Professor,363.23,M
Associate,75.9,M
Assistant,0,M
Assistant,0,M
Professor,11348.669999999998,M
Assistant,97144.26000000001,M
Associate,0,M
Assistant,0,M
Assistant,0,M
Professor,5454.950000000001,M
Assistant,1379.54,F
Associate,289.75,M
Associate,0,F
Professor,74.25,M
Assistant,0,M
Professor,0,M
Assistant,255.37,M
Assistant,686.1000000000001,M
Assistant,664.28,M
Assistant,377.37999999999994,M
Assistant,651.14,M
Professor,719.1100000000001,M
Associate,0,M
Associate,57911.71000000002,M
Assistant,0,M
Associate,22.060000000000002,M
Associate,3428.14,M
Associate,466.75,M
Assistant,962.04,F
Assistant,3105.0399999999995,M
Assistant,831.8299999999999,M
Professor,149.67,M
Assistant,295,M
Assistant,0,F
Assistant,212.98000000000002,M
Professor,0,M
Associate,59.71,F
Professor,880.4100000000001,M
Assistant,337.33,M
Assistant,2760.1800000000003,M
Assistant,309.98,M
Assistant,508.36,M
none,364.59999999999997,F
Professor,0,M
Assistant,412.65000000000003,M
Assistant,163.78,M
Associate,18.15,M
Associate,1656.6999999999998,M
Assistant,0,M
Assistant,398.71,M
Assistant,343.65999999999997,M
Assistant,0,M
Assistant,124.91999999999999,M
Associate,0,M
Associate,405.56,M
Assistant,30.46,M
Professor,229.23000000000002,M
Assistant,161.52,F
Assistant,398.15,M
Professor,8356.019999999999,M
Assistant,30.45,M
Professor,579.1600000000001,F
Assistant,3530.46,M
Professor,0,M
Assistant,103.77,M
Assistant,0,M
none,35.33,M
Assistant,199.57999999999998,M
